Scenario,Dispersal,Max,25P,10P,5P,1P
wv_base_1,wind,517.41,2.09,4.63,7.61,20.09
wv_base_1,ant,0,0,0,0,0
wv_base_2,wind,656.71,2.41,5.32,8.74,23.05
wv_base_2,ant,0,0,0,0,0
wv_base_3,wind,292.48,2.04,4.52,7.42,19.54
wv_base_3,ant,4.79,2.32,3.02,3.43,4.1
wv_base_4,wind,378.34,2.35,5.2,8.53,22.5
wv_base_4,ant,4.8,2.29,2.99,3.4,4.08
wv_base_5,wind,287.07,2.06,4.56,7.47,19.71
wv_base_5,ant,0,0,0,0,0
wv_base_6,wind,397.7,2.39,5.29,8.68,22.89
wv_base_6,ant,0,0,0,0,0
wv_base_7,wind,472.07,2.04,4.53,7.43,19.62
wv_base_7,ant,4.81,2.29,3.01,3.43,4.11
wv_base_8,wind,603.09,2.34,5.18,8.5,22.43
wv_base_8,ant,4.79,2.23,2.95,3.37,4.06
