Scenario,Dispersal,25P,10P,5P,1P
wv_base_1,wind,414.69,698.08,891.41,1303.87
wv_base_1,ant,0,0,0,0
wv_base_2,wind,646.93,1036.03,1258.54,1882.44
wv_base_2,ant,0,0,0,0
wv_base_3,wind,134.49,284.75,445.04,866.01
wv_base_3,ant,0.75,2.08,2.68,3.67
wv_base_4,wind,247.88,504.78,692.61,1249.42
wv_base_4,ant,1.33,2.36,2.87,3.68
wv_base_5,wind,149.55,287.17,457.15,885.33
wv_base_5,ant,0,0,0,0
wv_base_6,wind,268.33,492.17,677.95,1135.59
wv_base_6,ant,0,0,0,0
wv_base_7,wind,335.87,616.36,842.03,1289.62
wv_base_7,ant,1.41,2.35,2.83,3.73
wv_base_8,wind,539.04,944.72,1205.9,1743.37
wv_base_8,ant,1.49,2.42,2.9,3.63
